Line Numbers,"Ca Elemental Percents""",Mg Elemental Percents,Sr Elemental Percents,Fe Elemental Percents,Mn Elemental Percents,S  Elemental Percents,,CaO Oxide Percents,MgO Oxide Percents,SrO Oxide Percents,FeO Oxide Percents,MnO Oxide Percents,SO3 Oxide Percents,Ca Atomic Percents,Mg Atomic Percents,Sr Atomic Percents,Fe Atomic Percents,Mn Atomic Percents,S  Atomic Percents,Ca Formula Atoms,Mg Formula Atoms,Sr Formula Atoms,Fe Formula Atoms,Mn Formula Atoms,S  Formula Atoms,Elemental Totals,Oxide Totals,Atomic Totals,Formula Totals,,Ca Detection Limits,Mg Detection Limits,Sr Detection Limits,Fe Detection Limits,Mn Detection Limits,S  Detection Limits,Ca Percent Errors,Mg Percent Errors,Sr Percent Errors,Fe Percent Errors,Mn Percent Errors,S  Percent Errors
152,19.171,11.720,0.000,0.596,0.080,0.005,,26.823908,19.435633,0,0.767089,0.102899,0.01339,9.670915,9.749744,0,0.215869,0.029328,0.003381,0.482641,0.486575,0,0.010773,0.001464,0.000169,91.152924,91.152924,100,4.990642,,0.016002,0.026921,0.062802,0.030079,0.028,0.00963,0.36929,0.552671,-71.98959,3.539983,18.00,87.351563
153,20.789,12.438,0.015,0.470,0.109,0.022,,29.088652,20.626453,0.017588,0.605279,0.140411,0.054498,10.201138,10.064651,0.003338,0.165684,0.038927,0.013387,0.511365,0.504523,0.000167,0.008305,0.001951,0.000671,94.542877,94.542877,100,5.01282,,0.016391,0.025559,0.055159,0.029936,0.028,0.010203,0.354441,0.534494,178.497574,4.207819,13.52,24.479311
Un   22  MD6_258_6_B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,21.554,13.021,0.000,0.390,0.101,0.010,,30.157763,21.593153,0,0.501843,0.130602,0.024067,10.410067,10.370974,0,0.135214,0.03564,0.005819,0.523254,0.521289,0,0.006796,0.001791,0.000292,96.417435,96.417435,100,5.026419,,0.015897,0.026433,0.059074,0.030031,0.029,0.009822,0.347902,0.522136,-167.82724,4.865527,14.80,50.649086
155,21.635,13.276,0.007,0.345,0.107,0.014,,30.272228,22.01549,0.008745,0.444147,0.138148,0.034496,10.400582,10.52424,0.001626,0.119108,0.037522,0.008301,0.523153,0.529373,0.000082,0.005991,0.001887,0.000418,96.923256,96.923248,100.000008,5.030034,,0.016713,0.026926,0.055206,0.030315,0.029,0.010587,0.347355,0.516873,355.625793,5.384738,14.05,38.530834
156,21.867,13.201,0.065,0.296,0.091,0.000,,30.596338,21.891562,0.077191,0.380358,0.118018,0,10.506544,10.459628,0.014346,0.101949,0.032038,0,0.5286,0.52624,0.000722,0.005129,0.001612,0,97.073471,97.073471,100,5.031151,,0.01623,0.026327,0.051713,0.02899,0.028,0.010721,0.345362,0.517986,41.108555,5.934134,16.05,-445.49963
157,21.749,13.213,0.030,0.311,0.121,0.008,,30.431873,21.91172,0.036053,0.400068,0.156714,0.01963,10.456185,10.475389,0.006704,0.107295,0.042568,0.004724,0.525975,0.526941,0.000337,0.005397,0.002141,0.000238,96.966064,96.966064,100,5.030277,,0.016155,0.027092,0.055517,0.030453,0.028,0.010538,0.346377,0.518405,89.451736,5.87235,12.30,65.642067
158,21.672,13.293,0.022,0.276,0.054,0.013,,30.324041,22.0431,0.025442,0.354638,0.069086,0.031689,10.420469,10.539548,0.004732,0.095123,0.018768,0.007627,0.524142,0.530132,0.000238,0.004785,0.000944,0.000384,96.858002,96.857994,100,5.029928,,0.016298,0.027158,0.051332,0.028841,0.028,0.010256,0.346997,0.516505,116.394775,6.259554,26.27,40.582546
159,21.943,13.159,0.000,0.351,0.124,0.014,,30.703236,21.822193,0,0.451928,0.160054,0.035225,10.535505,10.418824,0,0.121043,0.043418,0.008466,0.530045,0.524175,0,0.00609,0.002184,0.000426,97.18264,97.182632,99.999992,5.031034,,0.016576,0.027147,0.060081,0.030392,0.029,0.010049,0.344969,0.51984,-161.15884,5.319847,12.38,36.103813
160,21.650,13.202,0.000,0.330,0.121,0.013,,30.293207,21.893183,0,0.424666,0.155752,0.03134,10.419219,10.477265,0,0.114008,0.04235,0.00755,0.524004,0.526923,0,0.005734,0.00213,0.00038,96.808144,96.808144,100,5.029205,,0.016141,0.027515,0.053376,0.030129,0.029,0.010174,0.347311,0.519132,-1233.04077,5.561804,12.63,40.719807
